01_GB;APIService;v1alpha3.networking.istio.io;BOTH
01_GB;APIService;v1.apiextensions.k8s.io;BOTH
01_GB;APIService;v1.apm.k8s.elastic.co;BOTH
01_GB;APIService;v1.apps;BOTH
01_GB;APIService;v1.authentication.k8s.io;BOTH
01_GB;APIService;v1.authorization.k8s.io;BOTH
01_GB;APIService;v1.autoscaling;BOTH
01_GB;APIService;v1.batch;BOTH
01_GB;APIService;v1beta1.acme.cert-manager.io;BOTH
01_GB;APIService;v1beta1.admissionregistration.k8s.io;BOTH
01_GB;APIService;v1beta1.apiextensions.k8s.io;BOTH
01_GB;APIService;v1beta1.apm.k8s.elastic.co;BOTH
01_GB;APIService;v1beta1.app.k8s.io;BOTH
01_GB;APIService;v1beta1.authentication.k8s.io;BOTH
01_GB;APIService;v1beta1.authorization.k8s.io;BOTH
01_GB;APIService;v1beta1.batch;BOTH
01_GB;APIService;v1beta1.beat.k8s.elastic.co;BOTH
01_GB;APIService;v1beta1.certificates.k8s.io;BOTH
01_GB;APIService;v1beta1.cert-manager.io;BOTH
01_GB;APIService;v1beta1.coordination.k8s.io;BOTH
01_GB;APIService;v1beta1.discovery.k8s.io;BOTH
01_GB;APIService;v1beta1.elasticsearch.k8s.elastic.co;BOTH
01_GB;APIService;v1beta1.enterprisesearch.k8s.elastic.co;BOTH
01_GB;APIService;v1beta1.events.k8s.io;BOTH
01_GB;APIService;v1beta1.extensions;BOTH
01_GB;APIService;v1beta1.kibana.k8s.elastic.co;BOTH
01_GB;APIService;v1beta1.metrics.k8s.io;BOTH
01_GB;APIService;v1beta1.networking.istio.io;BOTH
01_GB;APIService;v1beta1.networking.k8s.io;BOTH
01_GB;APIService;v1beta1.node.k8s.io;BOTH
01_GB;APIService;v1beta1.policy;BOTH
01_GB;APIService;v1beta1.rbac.authorization.k8s.io;BOTH
01_GB;APIService;v1beta1.scheduling.k8s.io;BOTH
01_GB;APIService;v1beta1.security.istio.io;BOTH
01_GB;APIService;v1beta1.serving.knative.dev;BOTH
01_GB;APIService;v1beta1.snapshot.storage.k8s.io;BOTH
01_GB;APIService;v1beta1.storage.k8s.io;BOTH
01_GB;APIService;v1.;BOTH
01_GB;APIService;v1.cert-manager.io;BOTH
01_GB;APIService;v1.configmanagement.gke.io;BOTH
01_GB;APIService;v1.coordination.k8s.io;BOTH
01_GB;APIService;v1.crd.projectcalico.org;BOTH
01_GB;APIService;v1.dex.coreos.com;BOTH
01_GB;APIService;v1.elasticsearch.k8s.elastic.co;BOTH
01_GB;APIService;v1.enterprisesearch.k8s.elastic.co;BOTH
01_GB;APIService;v1.hub.gke.io;BOTH
01_GB;APIService;v1.kibana.k8s.elastic.co;BOTH
01_GB;APIService;v1.monitoring.coreos.com;BOTH
01_GB;APIService;v1.networking.k8s.io;BOTH
01_GB;APIService;v1.rbac.authorization.k8s.io;BOTH
01_GB;APIService;v1.scheduling.k8s.io;BOTH
01_GB;APIService;v1.serving.knative.dev;BOTH
01_GB;APIService;v1.storage.k8s.io;BOTH
01_GB;APIService;v1.trident.netapp.io;BOTH
01_GB;APIService;v2alpha1.authentication.gke.io;BOTH
01_GB;APIService;v2beta1.autoscaling;BOTH
01_GB;APIService;v2beta2.autoscaling;BOTH
01_GB;BGPConfiguration;default;BOTH
01_GB;BGPPeer;gke-group-1;BOTH
01_GB;BGPPeer;gke-group-2;BOTH
01_GB;BGPPeer;gke-group-3;BOTH
01_GB;BGPPeer;gke-group-4;BOTH
01_GB;BGPPeer;gke-group-5;BOTH
01_GB;BGPPeer;rr-to-rr-peer;BOTH
01_GB;ClusterConfig;config-management-cluster-config;BOTH
01_GB;ClusterConfig;config-management-crd-cluster-config;BOTH
01_GB;ClusterInformation;default;BOTH
01_GB;ClusterIssuer;lets-encrypt-issuer;BOTH
